City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Bharatpur,IN,75.31,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
431,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
436,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
441,Fayaoue,NC,75.65,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
447,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
448,Kirakira,SB,79.39,broken clouds,-10.4544,161.9205,SanBiz Lodge
453,Chuy,UY,72.99,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
455,Ilebo,CD,74.05,heavy intensity rain,-4.3167,20.5833,Hôtel BUMAK
457,Santa Vitoria Do Palmar,BR,73.69,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
459,Njeru,UG,75.72,overcast clouds,0.4186,33.1731,2 Friends Guesthouse and Restaurant
469,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
470,Pemba,MZ,81.3,few clouds,-12.974,40.5178,Guesthouse Samotina
475,Angoche,MZ,80.1,clear sky,-16.2325,39.9086,Guest House HESADA
478,Aliwal North,ZA,79.03,scattered clouds,-30.6937,26.7114,Queens Terrace B&B
480,Dahod,IN,72.28,clear sky,22.8333,74.2667,Hotel Laxmi Inn
481,Tra Vinh,VN,77.83,broken clouds,9.9347,106.3453,Hồng Ân
482,Santa Rosalia,MX,72.99,broken clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
485,Nago,JP,75.36,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
486,Gat,IL,84.88,broken clouds,31.61,34.7642,OlusHome
487,Trairi,BR,86.43,broken clouds,-3.2778,-39.2689,janelas do mar
488,Peniche,PT,71.62,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
495,Altamira,BR,89.69,broken clouds,-3.2033,-52.2064,Requinte Hotel
496,Plaridel,PH,81.1,clear sky,14.8872,120.8572,St. Agatha Resort
497,Muncar,ID,78.28,very heavy rain,-8.4333,114.3333,Zaky Homestay
500,Kribi,CM,78.01,light rain,2.95,9.9167,Les Vagues bleues
504,Det Udom,TH,76.82,overcast clouds,14.906,105.0784,Chatsuda Resort
514,Sao Gabriel Da Cachoeira,BR,89.4,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
516,Karratha,AU,74.86,clear sky,-20.7377,116.8463,ibis Styles Karratha
521,Wanning,CN,75.97,overcast clouds,18.8003,110.3967,Paradise Hotel
523,Kruisfontein,ZA,80.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
527,Guayaquil,EC,78.76,broken clouds,-2.1667,-79.9,HMHotel
528,Luwuk,ID,77.58,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
531,Porto Novo,BJ,85.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
535,Isangel,VU,75.15,scattered clouds,-19.55,169.2667,Tanna Lodge
536,Mangrol,IN,79.93,clear sky,21.1167,70.1167,Hotel The Royal Honours
539,Shorkot,PK,77.61,clear sky,31.9099,70.8774,Saggu Janubi
540,Roebourne,AU,74.55,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
544,Yanam,IN,81.0,scattered clouds,16.7333,82.2167,The Regency Hotel
546,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
548,Tual,ID,82.33,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
566,Coahuayana,MX,78.93,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
567,Conceicao Da Barra,BR,79.61,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
568,Bandarbeyla,SO,80.01,few clouds,9.4942,50.8122,JABIR HOTEL
570,Bartow,US,72.05,few clouds,27.8964,-81.8431,"Holiday Inn Express & Suites Bartow, an IHG Hotel"
577,Mitsamiouli,KM,79.9,clear sky,-11.3847,43.2844,Foyer ADM
587,Mahenge,TZ,82.35,broken clouds,-8.6833,36.7167,Mkondosii Guest House
590,Petauke,ZM,88.9,broken clouds,-14.2426,31.3253,Newline Lodge
591,Atmakur,IN,74.57,overcast clouds,15.8833,78.5833,Mee seva atk
596,Gweru,ZW,86.22,scattered clouds,-19.45,29.8167,Suskwe Lodges
597,Guerrero,MX,70.32,broken clouds,17.6667,-100.0,Villaxochilt
602,Lazaro Cardenas,MX,79.54,overcast clouds,17.9583,-102.2,quinta antigua
617,San-Pedro,CI,83.44,overcast clouds,4.7485,-6.6363,Hotel Maria
620,Empangeni,ZA,70.86,clear sky,-28.762,31.8933,Peermont Metcourt Hotel at Umfolozi
621,Puli,TW,73.22,scattered clouds,23.9664,120.9695,小島好樂
622,Winneba,GH,86.47,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
623,Sulangan,PH,82.83,overcast clouds,11.1373,123.7228,Maia's Beach Resort
625,Barra,BR,89.44,clear sky,-11.0894,-43.1417,Motel Albatroz
626,Tingo Maria,PE,87.96,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
628,Machali,CL,70.88,light rain,-34.1833,-70.6667,Mining House
633,Pochutla,MX,77.85,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
635,Ahuimanu,US,71.78,clear sky,21.4447,-157.8378,Paradise Bay Resort
637,Kabare,CD,71.49,light rain,-2.4683,28.8242,Hôtel Panorama
640,Acarau,BR,86.4,broken clouds,-2.8856,-40.12,castelo pizzaria
641,Tukrah,LY,70.16,broken clouds,32.5341,20.5791,Lagrota restaurant
643,Cabra,ES,71.04,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
646,Sao Joao Do Paraiso,BR,83.48,broken clouds,-15.3136,-42.0144,Avenida Palace Hotel
649,Sainte-Marie,RE,75.36,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
653,Matamoros,MX,70.54,scattered clouds,25.5333,-103.25,Quinta Belem
654,Catamarca,AR,75.58,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
655,Vryburg,ZA,83.86,clear sky,-26.9566,24.7284,The Times Premier Lodge
658,Ca Mau,VN,77.41,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
659,Ikom,NG,86.45,light rain,5.9667,8.7063,Reho Farm & Resort
660,Praia Da Vitoria,PT,73.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
662,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
