City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Camana,PE,-16.6228,-72.7111,69.26,69,100,8.39,overcast clouds
182,Victor Harbor,AU,-35.5667,138.6167,62.73,90,90,5.19,overcast clouds
183,Lakatoro,VU,-16.0999,167.4164,77.49,79,22,7.2,few clouds
184,Shelkovskaya,RU,43.5069,46.3392,51.67,91,99,11.5,overcast clouds
185,Caravelas,BR,-17.7125,-39.2481,80.87,68,77,8.46,broken clouds
186,Komsomolskiy,UZ,40.4272,71.7189,50.72,62,100,6.91,haze
187,Mehamn,NO,71.0357,27.8492,31.95,93,0,11.5,clear sky
188,Lebu,CL,-37.6167,-73.65,60.26,72,100,6.67,overcast clouds
189,Namibe,AO,-15.1961,12.1522,73.49,63,39,15.73,scattered clouds
190,Aswan,EG,24.0934,32.907,92.73,18,100,8.93,overcast clouds
191,Umm Lajj,SA,25.0213,37.2685,84.51,65,99,3.56,overcast clouds
192,Northam,GB,51.0333,-4.2167,57.02,70,8,31.45,clear sky
193,Nagina,IN,29.45,78.45,66.78,58,0,3.69,clear sky
194,Omboue,GA,-1.5746,9.2618,76.59,89,100,6.04,light rain
195,Arrifes,PT,37.7667,-25.7,73.24,94,75,13.8,mist
196,Sabha,LY,27.0377,14.4283,81.54,17,4,6.33,clear sky
197,Benguela,AO,-12.5763,13.4055,77.77,75,96,9.24,light rain
198,Fortuna,US,40.5982,-124.1573,54.93,74,90,1.01,overcast clouds
199,Palivere,EE,58.9664,23.8911,51.46,85,88,10.22,overcast clouds
200,Aklavik,CA,68.2191,-135.0107,30.92,93,40,2.3,scattered clouds
201,Sorong,ID,-0.8833,131.25,80.56,78,100,4.05,overcast clouds
202,Port Lincoln,AU,-34.7333,135.8667,58.55,74,2,10.76,clear sky
203,Acapulco,MX,16.8634,-99.8901,78.62,78,40,5.75,scattered clouds
204,Oskemen,KZ,49.9565,82.6119,39.16,87,90,13.42,overcast clouds
205,Carnarvon,AU,-24.8667,113.6333,68.07,73,90,18.41,overcast clouds
206,Hunchun,CN,42.8675,130.3581,46.76,73,86,2.17,overcast clouds
207,Sambava,MG,-14.2667,50.1667,76.15,84,22,5.68,light rain
208,Bundaberg,AU,-24.85,152.35,70.21,78,75,5.01,broken clouds
209,Abu Kamal,SY,34.4506,40.9171,78.55,32,92,7.74,overcast clouds
210,Baoding,CN,38.8511,115.4903,49.3,83,0,0.54,clear sky
211,Junnar,IN,19.2,73.8833,74.37,57,2,2.86,light rain
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,81,100,11.27,overcast clouds
213,Villazon,BO,-22.0866,-65.5942,63.9,31,7,11.63,clear sky
214,Hambantota,LK,6.1241,81.1185,80.35,81,49,3.62,scattered clouds
215,Sitka,US,57.0531,-135.33,39.09,81,1,0.0,clear sky
216,Plover,US,44.4564,-89.544,47.25,42,40,10.0,scattered clouds
217,Thompson,CA,55.7435,-97.8558,30.36,93,75,8.05,broken clouds
218,Yulara,AU,-25.2406,130.9889,67.84,73,90,5.75,overcast clouds
219,Tingi,TZ,-11.3,35.0333,84.74,29,43,3.91,scattered clouds
220,Hofn,IS,64.2539,-15.2082,41.02,56,75,26.46,broken clouds
221,Guaruja,BR,-23.9931,-46.2564,80.17,83,90,9.22,light rain
222,Bertoua,CM,4.5833,13.6833,81.23,70,55,2.44,broken clouds
223,Nelson Bay,AU,-32.7167,152.15,59.0,90,98,8.34,overcast clouds
224,Katsuura,JP,35.1333,140.3,61.11,92,100,4.85,overcast clouds
225,Juba,SS,4.8517,31.5825,87.31,43,73,5.06,broken clouds
226,Srednekolymsk,RU,67.45,153.6833,-1.55,98,99,6.67,overcast clouds
227,Lorengau,PG,-2.0226,147.2712,80.64,83,97,7.65,moderate rain
228,Bima,ID,-8.4667,118.7167,79.56,89,86,1.16,overcast clouds
229,Ostersund,SE,63.1792,14.6357,41.61,100,90,8.05,overcast clouds
230,Jacareacanga,BR,-6.2222,-57.7528,96.06,42,56,2.86,broken clouds
231,Lompoc,US,34.6391,-120.4579,59.13,90,90,0.0,overcast clouds
232,Fairbanks,US,64.8378,-147.7164,46.36,42,1,14.97,clear sky
233,Inhambane,MZ,-23.865,35.3833,74.03,71,47,6.53,light rain
234,Faya,SA,18.3851,42.4509,68.52,44,46,9.78,scattered clouds
235,Yeppoon,AU,-23.1333,150.7333,71.38,79,80,23.06,broken clouds
236,Itarema,BR,-2.9248,-39.9167,87.26,60,79,15.77,broken clouds
237,Werda,BW,-25.2667,23.2833,86.59,11,0,5.32,clear sky
238,Verkhnevilyuysk,RU,63.4453,120.3167,20.16,79,100,9.82,overcast clouds
239,Kavieng,PG,-2.5744,150.7967,83.28,77,99,16.08,light rain
240,Pa Sang,TH,18.5262,98.9394,80.8,92,84,0.63,broken clouds
241,Letterkenny,IE,54.95,-7.7333,51.73,77,91,2.3,overcast clouds
242,Iqaluit,CA,63.7506,-68.5145,37.13,69,75,5.99,broken clouds
243,Sretensk,RU,52.2453,117.7093,26.58,49,93,3.67,overcast clouds
244,Camargo,MX,27.6667,-105.1667,67.42,33,15,3.85,few clouds
245,Copiapo,CL,-27.3667,-70.3333,60.49,42,1,6.22,clear sky
246,Husavik,IS,66.0449,-17.3389,33.71,99,100,25.55,moderate rain
247,Yuancheng,CN,36.652,107.7896,45.5,56,8,4.34,clear sky
248,Kasempa,ZM,-13.4584,25.8338,86.09,27,97,3.78,overcast clouds
249,Naze,JP,28.3667,129.4833,69.35,79,42,8.77,scattered clouds
250,Dubrovka,RU,53.6907,33.5071,46.38,83,0,8.12,clear sky
251,Christchurch,NZ,-43.5333,172.6333,52.03,70,90,4.0,overcast clouds
252,Findlay,US,41.0442,-83.6499,54.16,76,1,13.8,clear sky
253,Waipawa,NZ,-41.4122,175.5153,53.02,89,59,8.39,broken clouds
254,Hami,CN,42.8,93.45,51.58,41,37,5.53,scattered clouds
255,Nemuro,JP,43.3236,145.575,50.67,81,91,10.54,overcast clouds
256,Joshimath,IN,30.5667,79.5667,51.1,49,1,5.84,clear sky
257,Nefteyugansk,RU,61.0998,72.6035,3.45,91,20,7.52,few clouds
258,Vega De Alatorre,MX,20.0333,-96.6333,77.45,71,7,5.1,clear sky
259,Roswell,US,34.0232,-84.3616,58.59,83,75,1.01,broken clouds
260,Makakilo City,US,21.3469,-158.0858,70.29,82,1,3.44,clear sky
261,Curvelo,BR,-18.7564,-44.4308,69.08,87,100,0.85,overcast clouds
262,Saint-Philippe,RE,-21.3585,55.7679,74.79,75,33,6.08,scattered clouds
263,Olafsvik,IS,64.8945,-23.7142,36.23,67,11,18.3,few clouds
264,Hasaki,JP,35.7333,140.8333,57.6,90,100,8.34,overcast clouds
265,Athabasca,CA,54.7169,-113.2854,22.46,71,0,4.32,clear sky
266,Las Vegas,US,36.175,-115.1372,70.43,37,1,0.0,clear sky
267,Nome,US,64.5011,-165.4064,23.07,64,1,9.22,clear sky
