City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Mangrol,IN,2021-10-29 03:28:22,21.1167,70.1167,78.17,43,82,12.93
167,Dingle,PH,2021-10-29 03:25:30,10.9995,122.6711,84.76,74,69,13.02
168,Konakovo,RU,2021-10-29 03:28:22,56.7,36.7667,41.0,89,98,5.73
169,Ban Dung,TH,2021-10-29 03:28:23,17.699,103.2596,86.02,90,100,4.5
170,Pitimbu,BR,2021-10-29 03:28:23,-7.4706,-34.8086,73.99,78,99,11.14
171,Callaway,US,2021-10-29 03:28:24,30.153,-85.5699,69.73,61,75,8.99
172,Key Largo,US,2021-10-29 03:27:17,25.0865,-80.4473,83.98,78,98,20.38
173,Sao Filipe,CV,2021-10-29 03:28:24,14.8961,-24.4956,77.65,79,54,5.66
174,Nobres,BR,2021-10-29 03:28:25,-14.7203,-56.3275,74.82,84,100,2.33
175,Cidreira,BR,2021-10-29 03:28:25,-30.1811,-50.2056,67.6,85,37,16.91
176,Montes Altos,BR,2021-10-29 03:28:25,-5.8333,-47.0667,75.02,77,1,2.82
177,Viedma,AR,2021-10-29 03:28:26,-40.8135,-62.9967,70.65,41,100,1.01
178,Tazovskiy,RU,2021-10-29 03:28:26,67.4667,78.7,18.91,94,100,20.78
179,Finnsnes,NO,2021-10-29 03:28:27,69.2296,17.9811,42.76,99,100,5.64
180,Yekaterinoslavka,RU,2021-10-29 03:28:27,50.3734,129.1139,46.6,51,4,12.88
181,Kangaatsiaq,GL,2021-10-29 03:28:27,68.3065,-53.4641,28.44,95,100,11.59
182,Mahebourg,MU,2021-10-29 03:28:28,-20.4081,57.7,76.24,88,40,13.8
183,Olafsvik,IS,2021-10-29 03:28:28,64.8945,-23.7142,41.27,91,100,34.11
184,Capreol,CA,2021-10-29 03:28:29,46.706,-80.9225,41.92,74,40,1.99
185,Kodinsk,RU,2021-10-29 03:28:29,58.6881,99.1844,25.79,65,77,6.58
186,Hualmay,PE,2021-10-29 03:26:26,-11.0964,-77.6139,63.86,84,89,8.7
187,Mecca,SA,2021-10-29 03:27:09,21.4267,39.8261,78.98,53,50,4.36
188,Mackenzie,CA,2021-10-29 03:28:30,55.2999,-123.1698,34.02,93,90,4.61
189,Henties Bay,NA,2021-10-29 03:28:30,-22.116,14.2845,58.86,93,6,7.09
190,Yulara,AU,2021-10-29 03:28:31,-25.2406,130.9889,82.24,12,1,12.66
191,Cap Malheureux,MU,2021-10-29 03:28:31,-19.9842,57.6142,76.46,77,9,8.01
192,Riyadh,SA,2021-10-29 03:27:38,24.6877,46.7219,71.74,26,100,9.64
193,Giresun,TR,2021-10-29 03:28:32,40.5,38.5,27.72,99,100,5.84
194,Ayan,RU,2021-10-29 03:28:32,56.45,138.1667,40.55,61,99,7.34
195,Qaqortoq,GL,2021-10-29 03:28:33,60.7167,-46.0333,28.9,73,100,2.68
196,Yahotyn,UA,2021-10-29 03:28:33,50.2798,31.7625,42.71,93,9,2.21
197,Myanaung,MM,2021-10-29 03:28:33,18.2833,95.3167,81.57,80,53,9.17
198,Mandalgovi,MN,2021-10-29 03:28:34,45.7625,106.2708,32.74,68,74,21.68
199,Kutum,SD,2021-10-29 03:28:34,14.2,24.6667,68.16,17,14,5.88
200,Saint-Augustin,CA,2021-10-29 03:24:38,51.226,-58.6502,36.03,70,0,4.61
201,Darhan,MN,2021-10-29 03:28:35,49.4867,105.9228,36.09,46,98,11.65
202,Bandar-E Anzali,IR,2021-10-29 03:28:35,37.4727,49.4622,50.11,83,96,3.58
203,Balaipungut,ID,2021-10-29 03:28:36,1.05,101.2833,82.81,69,100,3.89
204,New Norfolk,AU,2021-10-29 03:28:36,-42.7826,147.0587,45.91,75,100,8.99
205,Belmonte,BR,2021-10-29 03:28:36,-15.8631,-38.8828,75.7,86,14,9.37
206,Ancud,CL,2021-10-29 03:28:37,-41.8697,-73.8203,47.73,88,100,4.25
207,Cascais,PT,2021-10-29 03:28:37,38.6979,-9.4215,67.51,80,100,3.0
208,Hilo,US,2021-10-29 03:24:14,19.7297,-155.09,75.25,88,65,6.24
209,Sao Felix Do Xingu,BR,2021-10-29 03:28:38,-6.6447,-51.995,75.22,74,66,1.7
210,Aksarka,RU,2021-10-29 03:28:38,66.5606,67.7975,19.44,93,100,20.78
211,Nizhnyaya Omka,RU,2021-10-29 03:28:39,55.4338,74.9426,34.36,61,85,15.77
212,Narsaq,GL,2021-10-29 03:28:39,60.9167,-46.05,28.62,74,100,2.55
213,Twin Falls,US,2021-10-29 03:28:39,42.3505,-114.6445,53.49,81,1,10.36
